title;desc;artikul;price;imageFileName
Нежный Крем Пилинг Для Лица, Органический Уход За Кожей от Canaan Organic;Этот восстанавливающий крем глубокого очищения сужает поры и ускоряет заживление ран. Для пилинга крем включает в себя компоненты абрикосовых семян.;16381;1746,5;canaan-organic-gentle-facial-peeling-cream-organic-skin-care.gif
Несмываемый интенсивный крем для рук из грязей Мертвого моря Dermud от АГАВА ;Dermud - интенсивный крем для рук для чувствительной и сухой кожи из эксклюзивной смеси минералов Мертвого моря от АГАВА. Насыщенный крем, который защищает кожу от воздействий, заживляет трещины, смягчает грубую кожу и питает даже самую сухую кожу. Не содержит парабенов и дерматологически протестирован. 100 мл, 3.4 унций тюбик;15211;1116,5;ahava-leave-deadsea-mud-dermud-intensive-hand-cream.jpg
Обезжиренный крем для лица с алоэ вера и минералами Мертвого моря крем;Это увлажняющее средство на основе Алоэ Вера и других растительных экстрактов, предназначен для смягчения и защиты жирной кожи. Он не оставляет жирный блеск и отлично подходит в качестве базы под макияж. Для комбинированной и жирной кожи. 50 мл;14919;1886,5;oil-free-aloe-vera-and-dead-sea-minerals-face-cream_0.jpg
Очищающая маска из грязей Мертвого моря с добавлением алоэ вера, 100 мл;Минеральная грязь Мертвого моря, обогащенная Алоэ Вера и натуральные растительные экстракты, для нанесения маски, чтобы очистить и очистить кожу, не высушивая ее. Для всех типов кожи.100 мл тюбик.;13172;1886,5;purifying-dead-sea-mud-mask-aloe-vera-100-ml.jpg
Очищающая маска с минералами Мертвого Моря и Алоэ Вера, 150 мл;Грязевая маска с минералами Мертвого Моря, обогащена растительными экстрактами и масло Алоэ Вера. Очищает кожу, но при этом не сушит. Подходит для всех типов кожи.;13175;1886,5;purifying-dead-sea-mud-mask-aloe-vera-150-ml.jpg
Очищяющий гель с грязью Мертвого Моря, Sea of Spa;Содержит минеральные вещества грязей Мертвого Моря, очищает и увлажняет кожу;7303;1676,5;dead-sea-mud-cleansing-gel-natural-sea-beauty.jpg
Питательная Маска Для Лица Canaan, Косметика Мертвого Моря;Питательная маска для лица высшего качества с потрясающей текстурой и множеством дополнительных питательных свойств, благодаря минералам Мертвого моря и дополнительным ингредиентам, которые были подобраны фирмой Canaan, чтобы улучшить ваши ощущения и раскрыть полный потенциал Вашей кожи.;16408;1676,5;canaan-nourishing-facial-mask-dead-sea-cosmetics.gif
Питательный ночной крем Мертвого моря от Sea of Spa;Восстанавливайте вашу кожу во время сна с этим активным питательным ночным кремом, созданным Sea of Spa. Он использует уникальную смесь эфирных минералов Мертвого моря и других натуральных ингредиентов. Помогите исцелиться своей коже с его помощью от ежедневного воздействия солнца и других агрессивных факторов, в т.ч. токсинов в окружающей среде. 50 мл баночка.;15328;1746,5;dead-sea-nourishing-night-cream-sea-spa.jpg
Соль Мертвого моря, обогащенная минералами;Магия минералов Мертвого моря не ограничивается лечением кожных заболеваний и боли в суставах. Эта смесь солей и минералов Мертвого моря также поможет вам расслабиться и почувствовать себя более здоровым и энергичным. Просто наберите ванну, растворите в воде соли Мертвого моря, сядьте и расслабьтесь.;15778;1886,5;enriched-minerals-dead-sea-salt.gif
Укрепляющая сыворотка для лица из Мертвого моря от Bio-Marine;Укрепляющая сыворотка для лица глубоко очищает кожу, оставляя ее подтянутой и сияющей. От Bio-Marine;15865;1746,5;bio-marine-firming-dead-sea-face-serum.jpg
